ano,municipio,uf,sexo,area,pop
2010,Alta Floresta D'Oeste,RO,Homens,Urbana,6970
2010,Alta Floresta D'Oeste,RO,Homens,Rural,5686
2010,Alta Floresta D'Oeste,RO,Mulheres,Urbana,7000
2010,Alta Floresta D'Oeste,RO,Mulheres,Rural,4736
2010,Ariquemes,RO,Homens,Urbana,38030
2010,Ariquemes,RO,Homens,Rural,7513
2010,Ariquemes,RO,Mulheres,Urbana,38495
2010,Ariquemes,RO,Mulheres,Rural,6315
2010,Cabixi,RO,Homens,Urbana,1339
2010,Cabixi,RO,Homens,Rural,1927
2010,Cabixi,RO,Mulheres,Urbana,1354
2010,Cabixi,RO,Mulheres,Rural,1693
2010,Cacoal,RO,Homens,Urbana,30307
2010,Cacoal,RO,Homens,Rural,8817
2010,Cacoal,RO,Mulheres,Urbana,31614
2010,Cacoal,RO,Mulheres,Rural,7836
2010,Cerejeiras,RO,Homens,Urbana,7152
2010,Cerejeiras,RO,Homens,Rural,1399
2010,Cerejeiras,RO,Mulheres,Urbana,7267
2010,Cerejeiras,RO,Mulheres,Rural,1211
2010,Colorado do Oeste,RO,Homens,Urbana,6715
2010,Colorado do Oeste,RO,Homens,Rural,2615
2010,Colorado do Oeste,RO,Mulheres,Urbana,6942
2010,Colorado do Oeste,RO,Mulheres,Rural,2319
2010,Corumbiara,RO,Homens,Urbana,1306
2010,Corumbiara,RO,Homens,Rural,3405
2010,Corumbiara,RO,Mulheres,Urbana,1284
2010,Corumbiara,RO,Mulheres,Rural,2788
2010,Costa Marques,RO,Homens,Urbana,3849
2010,Costa Marques,RO,Homens,Rural,3353
2010,Costa Marques,RO,Mulheres,Urbana,3648
2010,Costa Marques,RO,Mulheres,Rural,2828
2010,Espigão D'Oeste,RO,Homens,Urbana,10273
2010,Espigão D'Oeste,RO,Homens,Rural,4333
2010,Espigão D'Oeste,RO,Mulheres,Urbana,10337
2010,Espigão D'Oeste,RO,Mulheres,Rural,3786
2010,Guajará-Mirim,RO,Homens,Urbana,17392
2010,Guajará-Mirim,RO,Homens,Rural,3555
2010,Guajará-Mirim,RO,Mulheres,Urbana,17815
2010,Guajará-Mirim,RO,Mulheres,Rural,2894
2010,Jaru,RO,Homens,Urbana,17171
2010,Jaru,RO,Homens,Rural,8834
2010,Jaru,RO,Mulheres,Urbana,17947
2010,Jaru,RO,Mulheres,Rural,8053
2010,Ji-Paraná,RO,Homens,Urbana,51589
2010,Ji-Paraná,RO,Homens,Rural,6235
2010,Ji-Paraná,RO,Mulheres,Urbana,53269
2010,Ji-Paraná,RO,Mulheres,Rural,5517
2010,Machadinho D'Oeste,RO,Homens,Urbana,8267
2010,Machadinho D'Oeste,RO,Homens,Rural,8269
2010,Machadinho D'Oeste,RO,Mulheres,Urbana,7906
2010,Machadinho D'Oeste,RO,Mulheres,Rural,6693
2010,Nova Brasilândia D'Oeste,RO,Homens,Urbana,4146
2010,Nova Brasilândia D'Oeste,RO,Homens,Rural,6198
2010,Nova Brasilândia D'Oeste,RO,Mulheres,Urbana,4234
2010,Nova Brasilândia D'Oeste,RO,Mulheres,Rural,5296
2010,Ouro Preto do Oeste,RO,Homens,Urbana,13541
2010,Ouro Preto do Oeste,RO,Homens,Rural,5157
2010,Ouro Preto do Oeste,RO,Mulheres,Urbana,14639
2010,Ouro Preto do Oeste,RO,Mulheres,Rural,4591
2010,Pimenta Bueno,RO,Homens,Urbana,14624
2010,Pimenta Bueno,RO,Homens,Rural,2417
2010,Pimenta Bueno,RO,Mulheres,Urbana,14793
2010,Pimenta Bueno,RO,Mulheres,Rural,1988
2010,Porto Velho,RO,Homens,Urbana,193768
2010,Porto Velho,RO,Homens,Rural,23850
2010,Porto Velho,RO,Mulheres,Urbana,196965
2010,Porto Velho,RO,Mulheres,Rural,13944
2010,Presidente Médici,RO,Homens,Urbana,6479
2010,Presidente Médici,RO,Homens,Rural,4830
2010,Presidente Médici,RO,Mulheres,Urbana,6824
2010,Presidente Médici,RO,Mulheres,Rural,4186
2010,Rio Crespo,RO,Homens,Urbana,524
2010,Rio Crespo,RO,Homens,Rural,1243
2010,Rio Crespo,RO,Mulheres,Urbana,540
2010,Rio Crespo,RO,Mulheres,Rural,1009
2010,Rolim de Moura,RO,Homens,Urbana,20351
2010,Rolim de Moura,RO,Homens,Rural,4819
2010,Rolim de Moura,RO,Mulheres,Urbana,21078
2010,Rolim de Moura,RO,Mulheres,Rural,4400
2010,Santa Luzia D'Oeste,RO,Homens,Urbana,2243
2010,Santa Luzia D'Oeste,RO,Homens,Rural,2353
2010,Santa Luzia D'Oeste,RO,Mulheres,Urbana,2282
2010,Santa Luzia D'Oeste,RO,Mulheres,Rural,2008
2010,Vilhena,RO,Homens,Urbana,35607
2010,Vilhena,RO,Homens,Rural,2175
2010,Vilhena,RO,Mulheres,Urbana,36611
2010,Vilhena,RO,Mulheres,Rural,1809
2010,São Miguel do Guaporé,RO,Homens,Urbana,4229
2010,São Miguel do Guaporé,RO,Homens,Rural,7099
2010,São Miguel do Guaporé,RO,Mulheres,Urbana,4241
2010,São Miguel do Guaporé,RO,Mulheres,Rural,6259
2010,Nova Mamoré,RO,Homens,Urbana,6575
2010,Nova Mamoré,RO,Homens,Rural,5160
2010,Nova Mamoré,RO,Mulheres,Urbana,6492
